trade_id,setup_id,entry_time,direction,pnl,session,symbol,exit_reason,mae,mfe
T001-A,S001,2026-01-05T09:35:00Z,Long,75,New York,ES,TP1,-35,90
T001-B,S001,2026-01-05T09:35:00Z,Long,110,New York,ES,TP2,-35,185
T002,S002,2026-01-06T10:10:00Z,Short,-120,New York,NQ,Stop,-120,30
T003-A,S003,2026-01-07T03:20:00Z,Long,55,London,EURUSD,TP1,-28,72
T003-B,S003,2026-01-07T03:20:00Z,Long,85,London,EURUSD,TP2,-28,140
T004,S004,2026-01-08T14:05:00Z,Short,160,New York,ES,Target,-45,175
T005,S005,2026-01-09T08:15:00Z,Long,-90,London,GBPUSD,Stop,-90,18
T006-A,S006,2026-01-12T09:42:00Z,Long,60,New York,NQ,TP1,-40,82
T006-B,S006,2026-01-12T09:42:00Z,Long,95,New York,NQ,TP2,-40,164
T007,S007,2026-01-13T02:50:00Z,Short,105,London,EURUSD,Target,-32,119
T008,S008,2026-01-14T11:25:00Z,Short,-145,New York,ES,Stop,-145,22
T009,S009,2026-01-15T20:10:00Z,Long,70,Asia,NQ,Target,-38,88
T010-A,S010,2026-01-16T03:45:00Z,Short,45,London,GBPUSD,TP1,-51,63
T010-B,S010,2026-01-16T03:45:00Z,Short,-65,London,GBPUSD,Runner stop,-51,74
T011,S011,2026-01-20T09:50:00Z,Long,210,New York,ES,Target,-60,232
T012,S012,2026-01-21T21:30:00Z,Short,-80,Asia,EURUSD,Stop,-80,15
T013-A,S013,2026-01-22T10:05:00Z,Long,50,New York,NQ,TP1,-42,68
T013-B,S013,2026-01-22T10:05:00Z,Long,125,New York,NQ,TP2,-42,181
T014,S014,2026-01-23T04:10:00Z,Short,95,London,ES,Target,-30,111
T015,S015,2026-01-26T09:33:00Z,Long,-130,New York,ES,Stop,-130,26
T016,S016,2026-01-27T19:45:00Z,Short,65,Asia,NQ,Target,-27,79
T017-A,S017,2026-01-28T03:15:00Z,Long,40,London,EURUSD,TP1,-36,57
T017-B,S017,2026-01-28T03:15:00Z,Long,70,London,EURUSD,TP2,-36,119
T018,S018,2026-01-29T10:35:00Z,Short,-155,New York,NQ,Stop,-155,35
T019,S019,2026-02-02T09:40:00Z,Long,190,New York,ES,Target,-48,207
T020,S020,2026-02-03T02:35:00Z,Short,0,London,GBPUSD,Breakeven,-44,51
T021,S021,2026-02-04T20:25:00Z,Long,-75,Asia,NQ,Stop,-75,20
T022-A,S022,2026-02-05T10:15:00Z,Short,55,New York,ES,TP1,-39,73
T022-B,S022,2026-02-05T10:15:00Z,Short,90,New York,ES,TP2,-39,151
T023,S023,2026-02-06T03:55:00Z,Long,100,London,EURUSD,Target,-33,116
T024,S024,2026-02-09T09:58:00Z,Short,-110,New York,NQ,Stop,-110,28
